id,enabled,active,last updated,ID,UUID,Attraction_Name,Description,Symbol_Name,More_Info_Link,Latitude,Longitude,Active,Last_Update
1,1,22/02/2019,1,NULL,NULL,Allium,"The generic name Allium is the Latin word for garlic. The genus contains hundreds of distinct species; many have been harvested through human history, but only about a dozen are still economically important today as crops or garden vegetables. Many others are cultivated as ornamental plants",Alliumspecies.jpg,http://en.wikipedia.org/wiki/Allium,53.271937,-3.044404,0,07/08/2014 13:22
1,1,22/02/2019,2,NULL,NULL,Ammocharis,"Ammocharis is a genus in the Amaryllidaceae family (subfamily Amaryllidoideae) which includes 6 species distributed in Africa. The plant grows as a succulent, above-ground bulb, preferring seasonally wet, hot, sandy soils and full sun.",Ammocharis.jpg,http://en.wikipedia.org/wiki/Ammocharis,53.271642,-3.04332,0,07/08/2014 13:22
1,1,22/02/2019,3,NULL,NULL,Bomarea,Bomarea is one of the two major genera in the plant family Alstroemeriaceae. Most occur in the Andes. Several species are occasionally found as gardenplants.,Bomera.jpg,http://en.wikipedia.org/wiki/Bomarea,53.270981,-3.043052,0,07/08/2014 13:22
1,1,22/02/2019,4,NULL,NULL,Arisaema,"Arisaema is a genus of about 150 species in the flowering plant family Araceae, native to eastern and central Africa, Asia and eastern North America. Its species are often called Cobra lilies, particularly the Asiatic species.",Arisaema.jpg,http://en.wikipedia.org/wiki/Arisaema,53.270821,-3.043513,0,07/08/2014 13:22
1,1,22/02/2019,5,NULL,NULL,Brunsvigia,"Brunsvigia is a flowering plant genus in the family Amaryllidaceae, subfamily Amaryllidoideae. It contains about 20 species native to South Africa. Brunsvigia are tender bulbs, winter-growing and summer-dormant, generally flowering in early autumn. Their flowers are brilliant scarlet, pink, or red.",Brunsvigia.jpg,http://en.wikipedia.org/wiki/Brunsvigia,53.27127,-3.042462,0,07/08/2014 13:22
1,1,22/02/2019,6,NULL,NULL,Lilium,"Lilium is a genus of herbaceous flowering plants growing from bulbs, all with large, prominent flowers. They comprise a genus of about 110 species in the lily family Liliaceae. Most species are native to the temperate northern hemisphere, though their range extends into the northern subtropics.",Lilium.jpg,http://en.wikipedia.org/wiki/Lilium,53.271366,-3.041915,0,07/08/2014 13:22
1,1,22/02/2019,7,NULL,NULL,Galanthus,"Galanthus is a small genus of about 20 species of bulbous herbaceous plants in the family Amaryllidaceae, subfamily Amaryllidoideae. Most flower in winter, before the vernal equinox (20 or 21 March in the Northern Hemisphere), but certain species flower in early spring and late autumn.",Galanthus.jpg,http://en.wikipedia.org/wiki/Galanthus,53.271585,-3.042623,0,07/08/2014 13:22
1,1,22/02/2019,8,NULL,NULL,Acer griseum,"Related to Japanese maples and, of course, the common sycamore, the paper bark maple is native to central China. A small tree only growing to 6-9 metres, it was introduced to Europe in 1901 by plant hunter, Ernest Henry Wilson. It normally has coppery red bark which peels off ? like sheets of fine paper. The tree in front of you has been polished smooth by successive visitors rubbing its bark. In the autumn its also has stunning foliage of oranges and reds. Despite the popularity of Acers in gardens, it is worrying to note that 54 out 128 known species are under threat of extinction in the wild.",Acer_griseum.jpg,http://en.wikipedia.org/wiki/Acer_griseum,53.27057,-3.043627,1,07/08/2014 13:22
1,1,22/02/2019,9,NULL,NULL,Betula utilis,"Betula utilis is a common birch throughout the Himalayans from Afghanistan to China.  It has different coloured bark depending on where is comes from. Subspecies jacquemontii from the western Himalayans has white bark. Subsp. utilis (central Himalayans) has chocolate coloured bark and subsp. albosinensis (northern china) has copper coloured bark. Commonly subspecies of Betula utilis are seen as single stemmed trees which means they have been either grafted, grown from cuttings or pruned when young.  To achieve a multi stemmed tree, they must be seed grown.",Betula_utilis.jpg,http://en.wikipedia.org/wiki/Betula_utilis,53.274456,-3.0451944,1,07/08/2014 13:22
1,1,22/02/2019,10,NULL,NULL,Araucaria araucana,"The monkey puzzle tree is an evergreen conifer native to Argentina and Chile. It was  introduced to England in 1795 by Archibald Menzies; a plant collector and naval surgeon on Captain George Vancouver's circumnavigation of the globe. The common name Monkey Puzzle refers to the fact that the task of climbing the tree, with its with spiny leaves, would puzzle even a monkey. The scientific name Araucaria araucana comes from the Spanish name Araucanos, given to the Mapuche peoples from Chile who consider monkey puzzles to be sacred. The edible seeds are still harvested today, made into a flour, and used to make a fermented beverage (muday). ",Araucaria_araucana.jpg,http://en.wikipedia.org/wiki/Araucaria_araucana,53.272794,-3.0452417,1,12/08/2014 14:09
